domain,top_email,tier,score,source_count,sources,source_urls,top_snippet,all_candidates
chariow.com,security@chariow.com,A,5,1,direct,https://chariow.com/en | https://chariow.com/en/contact | https://chariow.com/en/security,"u discover a security vulnerability in a Chariow system, report it promptly to\"",\""report_email\"":\""security@chariow.com\"",\""report_details\"":\""Include a detailed summary and any supporting evidence (","security@chariow.com(A,5,direct); contact@chariow.com(B,3,direct); support@chariow.com(B,3,direct)"
chartmetric.com,,,0,0,,,,
checkr.com,hello@checkr.com,B,3,1,direct,https://checkr.com/legal/privacy-policy,"through our support portal. Alternatively, you can submit your request by email at <a href=""mailto:hello@checkr.com"" target=""_self"">hello@checkr.com</a>.</p><p class=""mb-xSmall has-default-color "" sty","hello@checkr.com(B,3,direct); privacyofficer@checkr.com(B,3,direct)"
chetto.ai,care@chetto.ai,B,3,1,direct,https://chetto.ai/ | https://chetto.ai/contact | https://chetto.ai/privacy,"wrrg framer-1ubvz4m"" data-framer-name=""White"" data-highlight=""true"" data-border=""true"" href=""mailto:care@chetto.ai"" target=""_blank"" rel=""noopener"" tabindex=""0"" style=""--border-bottom-width:1px;--borde","care@chetto.ai(B,3,direct)"
chift.eu,,,0,0,,,,
chipax.com,,,0,0,,,,
chisellabs.com,,,0,0,,,,
chordian.ai,oliver.spring@chordian.ai,B,3,1,direct,https://chordian.ai/ | https://chordian.ai/contact/ | https://chordian.ai/security/,"rable per deployment</li> </ul> <p><strong>Contact for security questions:</strong> <a href=""mailto:oliver.spring@chordian.ai?subject=Security%20inquiry"">oliver.spring@chordian.ai</a></p> </div></sect","oliver.spring@chordian.ai(B,3,direct)"
chowdeck.com,hello@chowdeck.com,B,3,1,direct,https://chowdeck.com/contact | https://chowdeck.com/privacy | https://chowdeck.com/terms,"ations, including ESG-related matters, on this contact form or via email at<!-- --> <a href=""mailto:hello@chowdeck.com"" class=""underline"">hello@chowdeck.com</a> or our mobile in-app Support Chat.</spa","hello@chowdeck.com(B,3,direct); legal@chowdeck.com(B,3,direct)"
ci-hub.com,mdf@ci-hub.com,B,3,1,direct,https://ci-hub.com/legal/terms,on the Sales Club website (or available by request) should be completed and submitted via email to MDF@ci-hub.com at least four weeks before the planned start date of the proposed initiative.&nbsp;<br,"mdf@ci-hub.com(B,3,direct); order@ci-hub.com(B,3,direct); sales@ci-hub.com(B,3,direct); support@ci-hub.com(B,3,direct)"
cinode.com,,,0,0,,,,
cirra.ai,info@cirra.ai,B,3,1,direct,https://cirra.ai/contact-us/,"and try again.' : 'Something went wrong sending your message (' + err + '). Please email info@cirra.ai instead.'; setStatus('error', msg); }) .catch(function () { reset","info@cirra.ai(B,3,direct)"
cizgi.net,info@cizgi.net,B,3,1,direct,https://www.cizgi.net/,"1"", ""addressCountry"": ""TR"" }, ""telephone"": ""+90 216 365 82 50"", ""email"": ""info@cizgi.net"", ""sameAs"": [""https://www.facebook.com/cizgiteknolojias"",""https://www.linkedin.com/company/ci","info@cizgi.net(B,3,direct)"
clappia.com,security@clappia.com,A,5,1,direct,https://www.clappia.com/security,"xploited:</p><ul role=""list""><li>Security researchers can report vulnerabilities by reaching out to security@clappia.com.</li><li>All valid reports are acknowledged within 2–3 business days and triage","security@clappia.com(A,5,direct); support@clappia.com(B,3,direct)"
clarify.io,hello@clarify.io,B,3,1,direct,https://www.clarify.io/ | https://www.clarify.io/contact-us | https://www.clarify.io/legal,"d0c109df"" class=""w-layout-grid footer--intro-list""><p class=""footer--intro ng-copy""><a href=""mailto:hello@clarify.io"" class=""footer--intro-link"">hello@clarify.io</a></p><p class=""footer--intro ng-copy","hello@clarify.io(B,3,direct); tor@clarify.io(B,3,direct); tore@clarify.io(B,3,direct)"
clarity.ai,solutions@clarity.ai,B,3,1,direct,https://clarity.ai/ | https://clarity.ai/contact/,"termined to illuminate a path to a more sustainable world."",""url"":""https:\/\/clarity.ai\/"",""email"":""solutions@clarity.ai"",""telephone"":""+19295811230"",""foundingDate"":""2017-01-02"",""numberOfEmployees"":{""@","solutions@clarity.ai(B,3,direct)"
classavo.com,dmca@classavo.com,B,3,1,direct,https://www.classavo.com/terms,"rong>11. Copyright (DMCA)</strong></h2><p>We respond to valid DMCA notices. Send notices to <strong>dmca@classavo.com</strong> or to our registered agent: interactiveX, Inc., Attn: DMCA Agent, 701 Ell","dmca@classavo.com(B,3,direct); privacy@classavo.com(B,3,direct); support@classavo.com(B,3,direct)"
classdojo.com,security@classdojo.com,A,5,1,direct,https://www.classdojo.com/.well-known/security.txt | https://www.classdojo.com/contact/ | https://www.classdojo.com/privacy/,Contact: mailto:security@classdojo.com Expires: 2026-07-01T04:00:00.000Z Encryption: https://www.classdojo.com/contact/ Policy: https://bu,"security@classdojo.com(A,5,direct); privacy@classdojo.com(B,3,direct); safety@classdojo.com(B,3,direct)"
clay.earth,,,0,0,,,,
clazar.io,security@clazar.io,A,5,1,direct,https://clazar.io/security,"gion"": ""CA"", ""postalCode"": ""94103"", ""addressCountry"": ""US"" }, ""email"": ""security@clazar.io"", ""sameAs"": [ ""https://www.linkedin.com/company/clazar"", ""https://twitter.com","security@clazar.io(A,5,direct)"
cleanhealth.edu.au,,,0,0,,,,
clearer.io,contact@clearer.io,B,3,1,direct,https://www.clearer.io/,"aption""><div class=""caption mb8"">COMPANY</div></li><li class=""nav-link footer-link""><a href=""mailto:contact@clearer.io"" class=""text-link"">Get in touch</a></li><li class=""nav-link footer-link""><a href=","contact@clearer.io(B,3,direct)"
cleartrip.com,,,0,0,,,,
clemta.com,,,0,0,,,,
cleo.com,sales@cleo.com,B,3,1,direct,https://www.cleo.com/contact,"mp; Sales</h6><p class=""p2""><span class=""s1""><strong>Email us:&nbsp;</strong></span><a href=""mailto:sales@cleo.com""><span class=""s1 s2""><strong>sales@cleo.com</strong></span></a><br><span class=""s1""><","sales@cleo.com(B,3,direct)"
clerk.chat,security@clerk.chat,A,5,1,direct,https://clerk.chat/security/,"a stored?""},{""@type"":""Question"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Yes. Please reach out to security@clerk.chat and we will get back to you asap.\n""},""name"":""Do you have a formal Business Cont","security@clerk.chat(A,5,direct); hello@clerk.chat(B,3,direct); support@clerk.chat(B,3,direct)"
cles.org,badaro@cles.org,B,3,1,direct,https://cles.org/ | https://cles.org/contact-us/,"t</sup> floor</strong><br /> <strong> Tel: + 961 (1) 380 111</strong><br /> <strong><a href=""mailto:badaro@cles.org"">badaro@cles.org</a></strong></p> </div> </div> </div></div></div><div class=""wpb_co","badaro@cles.org(B,3,direct); beirut@cles.org(B,3,direct); nabatieh@cles.org(B,3,direct); saida@cles.org(B,3,direct); semkanieh@cles.org(B,3,direct); tripoli@cles.org(B,3,direct)"
clickrain.com,info@clickrain.com,B,3,1,direct,https://www.clickrain.com/ | https://www.clickrain.com/contact | https://www.clickrain.com/privacy-policy,"logy agency in downtown Sioux Falls, SD. Reimagine what marketing can be with Click Rain."",""email"":""info@clickrain.com"",""geo"":{""@type"":""GeoCoordinates"",""latitude"":""43.5500803"",""longitude"":""-96.7264459","info@clickrain.com(B,3,direct)"
clickup.com,__sales@clickup.com,B,3,1,direct,https://clickup.com/security | https://clickup.com/security.html,"organizational and technology controls are independently audited at least annually. Please contact __sales@clickup.com__ for ClickUp's latest reports."",""__modelName"":""CuMarkdown"",""__metadata"":{""id"":""Q","__sales@clickup.com(B,3,direct); legal@clickup.com(B,3,direct); platform@clickup.com(B,3,direct); sales@clickup.com(B,3,direct); support@clickup.com(B,3,direct); u003esales@clickup.com(B,3,direct)"
climateactiondata.org,contact@climateactiondata.org,B,3,1,direct,https://climateactiondata.org/privacy-policy/,"s</p> <p>If there are any questions regarding this privacy policy, please write to: <a href=""mailto:contact@climateactiondata.org"">contact@climateactiondata.org</a></p> </div> </div> </div> </section>","contact@climateactiondata.org(B,3,direct)"
clinicadoleite.com.br,gr@clinicadoleite.com.br,B,3,1,direct,https://www.clinicadoleite.com.br/,"3631</span> </li> <li class=""elementor-icon-list-item""> <a href=""mailto:gr@clinicadoleite.com.br""> <span class=""elementor-icon-list-icon""> <svg aria-hidden=""true"" class=""e-font","gr@clinicadoleite.com.br(B,3,direct)"
clint.digital,,,0,0,,,,
clockworkrecruiting.com,info@clockworkrecruiting.com,B,3,1,direct,https://www.clockworkrecruiting.com/ | https://www.clockworkrecruiting.com/contact | https://www.clockworkrecruiting.com/security,"iting.statuspage.io/"" target=""_blank"">Status</a><a class=""button button-4 button-last"" href=""mailto:info@clockworkrecruiting.com"">Contact Us</a></div></div> </div> </div> </div> </div>","info@clockworkrecruiting.com(B,3,direct); jobs@clockworkrecruiting.com(B,3,direct); support@clockworkrecruiting.com(B,3,direct)"
clootrack.com,contactus@clootrack.com,B,3,1,direct,https://www.clootrack.com/contact-us,"ent platform for Voice of the Customer analytics that drives real business outcomes"", ""email"": ""contactus@clootrack.com"", ""sameAs"": [ ""https://www.facebook.com/clootrack"", ""https://x.com/clootrack"",","contactus@clootrack.com(B,3,direct); pr@clootrack.com(B,3,direct)"
close.com,support@close.com,B,3,1,direct,https://close.com/legal---terms | https://close.com/tos,"xisting or potential Close customers. To decline Close this right you need to email <a href=""mailto:support@close.com"">support@close.com</a> stating that you do not wish to be used as a reference.</p>","support@close.com(B,3,direct)"
closedloop.ai,,,0,0,,,,
cloudchipr.com,support@cloudchipr.com,B,3,1,direct,https://cloudchipr.com/ | https://cloudchipr.com/security,"nt w-dropdown-list""><div class=""faq-item_content-text"">Join our slack community or just email us at support@cloudchipr.com and we will get back to you with an answer as soon as possible. For our Enter","support@cloudchipr.com(B,3,direct)"
cloudeagle.ai,nidhi@cloudeagle.ai,B,3,1,direct,https://www.cloudeagle.ai/contact,"a><a href=""mailto:pr@cloudeagle.ai"" class=""contact-email-links"">pr@cloudeagle.ai</a><a href=""mailto:nidhi@cloudeagle.ai"" class=""contact-email-links"">nidhi@cloudeagle.ai</a></div></div><div class=""home","nidhi@cloudeagle.ai(B,3,direct); partners@cloudeagle.ai(B,3,direct); pr@cloudeagle.ai(B,3,direct); sales@cloudeagle.ai(B,3,direct)"
cloudflare.com,dpo@cloudflare.com,B,3,1,direct,https://www.cloudflare.com/privacypolicy/,"any questions about Cloudflare&#x27;s compliance with the Global CBPR System, please contact us at dpo@cloudflare.com. If you have unresolved privacy concerns related to the Global CBPR System, that w","dpo@cloudflare.com(B,3,direct); legal@cloudflare.com(B,3,direct); privacyquestions@cloudflare.com(B,3,direct); sar@cloudflare.com(B,3,direct); unsubscribe@cloudflare.com(B,3,direct)"
cloudgov.ai,info@cloudgov.ai,B,3,1,direct,https://cloudgov.ai/ | https://cloudgov.ai/contact-us/ | https://cloudgov.ai/terms/,"tps://cloudgov.ai/wp-content/uploads/2024/07/envelope.svg"" alt=""Teléfono"" width=""20"" height=""20"" /> info@cloudgov.ai</div> <div class=""contact-item""><img decoding=""async"" src=""https://cloudgov.ai/wp-c","info@cloudgov.ai(B,3,direct); support@cloudgov.ai(B,3,direct)"
cloverleaf.ai,support@cloverleaf.ai,B,3,1,direct,https://www.cloverleaf.ai/ | https://www.cloverleaf.ai/contact-us/ | https://www.cloverleaf.ai/legaltech-fund-announces-investment-in-cloverleaf-ai/,"></span></div> <div class=""et_pb_blurb_container""> <h5 class=""et_pb_module_header""><span>support@cloverleaf.ai</span></h5> </div> </div> </div><div class=""et_pb_with_border et_pb_module et_pb","support@cloverleaf.ai(B,3,direct)"
clozd.com,,,0,0,,,,
coastapp.com,,,0,0,,,,
codspeed.io,contact@codspeed.io,B,3,1,direct,https://codspeed.io/ | https://codspeed.io/privacy | https://codspeed.io/terms,"questions or concerns, please contact us at<!-- --> <a class=""chakra-link css-c1mx6c"" href=""mailto:contact@codspeed.io"">contact@codspeed.io</a>.</p><style data-emotion=""css 1n9tgmc"">.css-1n9tgmc{font-","contact@codspeed.io(B,3,direct); support@codspeed.io(B,3,direct)"
cofi.ai,info@cofi.ai,B,3,1,direct,https://www.cofi.ai/ | https://www.cofi.ai/contact | https://www.cofi.ai/security,"Capital of Texas Highway<br/>Suite 4200<br/>Austin, TX 78759-7439<br/>USA<br/><br/><a href=""mailto:info@cofi.ai"" class=""link-footer text-light"">info@cofi.ai<br/></a></p></div><div data-w-id=""da92ec24-","info@cofi.ai(B,3,direct)"
coinmarketcap.com,,,0,0,,,,
coinstats.app,,,0,0,,,,
coliving.com,info@coliving.com,B,3,1,direct,https://coliving.com/terms,"Website infringes a copyright that you hold, please contact us immediately emailing <a href=""mailto:info@coliving.com"">info@coliving.com</a>. Once this procedure has been followed Coliving will make a","info@coliving.com(B,3,direct); support@coliving.com(B,3,direct)"
collegepulse.com,mwall@collegepulse.com,B,3,1,direct,https://collegepulse.com/terms/,"trong><em>(d) Support.</em></strong> <!-- -->If you are experiencing any issues, please email us at mwall@collegepulse.com.</p><p><strong><em>(e) Messages and Frequency.</em></strong> <!-- -->Message ","mwall@collegepulse.com(B,3,direct)"
commented.io,,,0,0,,,,
commonroom.io,security@commonroom.io,A,5,1,direct,https://app.commonroom.io/.well-known/security.txt,Contact: mailto:security@commonroom.io Expires: 2026-12-01T20:00:00.000Z Preferred-Languages: en,"security@commonroom.io(A,5,direct); marketing@commonroom.io(B,3,direct); uncommon@commonroom.io(B,3,direct)"
commonscompany.com,,,0,0,,,,
community.com,accountservices@community.com,B,3,1,direct,https://community.com/legal/terms,"eof.</p><p>You may opt out of this agreement to arbitrate by emailing us at<!-- --> <a href=""mailto:accountservices@community.com"" class=""text-primary underline underline-offset-4 decoration-primary/4","accountservices@community.com(B,3,direct); copyright@community.com(B,3,direct); help@community.com(B,3,direct); platform-integrity@community.com(B,3,direct)"
companion.energy,,,0,0,,,,
companyenrich.com,,,0,0,,,,
compliancely.com,support@compliancely.com,B,3,1,direct,https://compliancely.com/ | https://compliancely.com/contact-us,"ame=""home_url"" content=""https://compliancely.com"" itemprop=""url"" /> <meta name=""Email"" content=""support@compliancely.com"" /> <meta property=""og:type"" content=""website""> <meta property=""og:site_name"" c","support@compliancely.com(B,3,direct)"
comscore.com,privacy@comscore.com,B,3,1,direct,https://www.comscore.com/About/Privacy,"s</h2><p class=""my-3"">Please submit your Privacy questions and comments by email to <a href=""mailto:privacy@comscore.com"">privacy@comscore.com</a>.</p> </div> </div> </div>","privacy@comscore.com(B,3,direct)"
cones.com,service@cones.com,B,3,1,direct,https://www.cones.com/,"k"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""],""opens"":""08:00"",""closes"":""17:00""}],""email"":""service@cones.com"",""faxNumber"":""309-797-6289"",""areaServed"":""Moline \/ Quad Cities and Surrounding Re","service@cones.com(B,3,direct)"
conjura.com,,,0,0,,,,
connect-x.tech,sales@connect-x.tech,B,3,1,direct,https://connect-x.tech/ | https://connect-x.tech/contact-us,", rgb(0, 136, 255));--framer-text-decoration:underline""><!--$--><a class=""framer-text"" href=""mailto:sales@connect-x.tech"" target=""_blank"" rel=""noopener"">sales@connect-x.tech</a><!--/$--></p></div><div","sales@connect-x.tech(B,3,direct)"
consensus.app,,,0,0,,,,
construflow.com.br,,,0,0,,,,
contable.app,hola@contable.app,B,3,1,direct,https://contable.app/,"sesoría tributaria."", ""telephone"": ""+56998191787"", // TODO: 🎲 56933972329 ""email"": ""hola@contable.app"", ""address"": { ""@type"": ""PostalAddress"", ""streetAddress"": ""El Trovador","hola@contable.app(B,3,direct)"
contaja.com.br,,,0,0,,,,
contentful.com,,,0,0,,,,
contentstudio.io,support@contentstudio.io,B,3,1,direct,https://contentstudio.io/,""":""ContactPoint"",""contactType"":""customer support"",""url"":""https://contentstudio.io/contact"",""email"":""support@contentstudio.io"",""availableLanguage"":[""English""]}},{""@type"":""WebSite"",""@id"":""https://conten","support@contentstudio.io(B,3,direct)"
contextqa.com,sales@contextqa.com,B,3,1,direct,https://contextqa.com/ | https://contextqa.com/contact-us/,"ems""> <li class=""elementor-icon-list-item elementor-inline-item""> <a href=""mailto:sales@contextqa.com""> <span class=""elementor-icon-list-icon""> <i aria-hidden=""true"" class=""fas fa-e","sales@contextqa.com(B,3,direct)"
controlle.com,,,0,0,,,,
converge.it,,,0,0,,,,
conversionmediagroup.com,,,0,0,,,,
convesio.com,info@convesio.com,B,3,1,direct,https://convesio.com/terms-of-service/,"with our services, please email us at: </span><a style=""font-weight: 500 !important;"" href=""mailto:info@convesio.com""><span style=""font-weight: 400;"">info@convesio.com</span></a><span style=""font-weig","info@convesio.com(B,3,direct); privacy@convesio.com(B,3,direct); sales@convesio.com(B,3,direct)"
convex.dev,,,0,0,,,,
conviva.com,,,0,0,,,,
coolset.com,,,0,0,,,,
coolshop.com,,,0,0,,,,
cooroundtable.com,divinia@cooroundtable.com,B,3,1,direct,https://cooroundtable.com/,"/path> </svg> </div> </section> <footer class=""footer-section""> <p>Got a question? <a href=""mailto:divinia@cooroundtable.com"">I'd love to hear from you</a>.</p> <div class=""social-links""> <a href=""htt","divinia@cooroundtable.com(B,3,direct)"
copilot.money,security@copilot.money,A,5,1,direct,https://copilot.money/.well-known/security.txt,"Contact: mailto:security@copilot.money Acknowledgments: https://copilot.money/security-hall-of-fame Preferred-Languages: en, es Canonical:","security@copilot.money(A,5,direct); hello@copilot.money(B,3,direct)"
copilotkit.ai,,,0,0,,,,
copperx.io,,,0,0,,,,
cordova.com,connect@cordova.com,B,3,1,direct,https://cordova.com/,"> <p><a href=""tel:14026240725"">1 402-325-1160</a></p> <p><a href=""mailto:connect@cordova.solutions"">connect@cordova.com</a></p></div> </div><ul class=""et_pb_module et_pb_social_media_follow et_pb_soci","connect@cordova.com(B,3,direct)"
coris.ai,,,0,0,,,,
corneliajames.com,contact@corneliajames.com,B,3,1,direct,https://www.corneliajames.com/en-us/pages/contact,working hours are usually 9am-6pm British time Phone +44 1273 920761 WhatsApp +44 1273 920761 Email contact@corneliajames.com Personal Style Consultation Book Personal Style Consultation Press enquiri,"contact@corneliajames.com(B,3,direct); press@corneliajames.com(B,3,direct)"
coros.com,careers@coros.com,B,3,1,direct,https://coros.com/contact,"t=""_blank"">sales@coros.com</a></p><p><br></p><h3>Career Opportunities</h3><p>Email: <a href=""mailto:careers@coros.com"" target=""_blank"">careers@coros.com</a></p><p><br></p><h3>Media Relations</h3><p>Em","careers@coros.com(B,3,direct); coach@coros.com(B,3,direct); copyright@coros.com(B,3,direct); info@coros.com(B,3,direct); press@coros.com(B,3,direct); sales@coros.com(B,3,direct)"
cortea.ai,,,0,0,,,,
coupler.io,contact@coupler.io,B,3,1,direct,https://www.coupler.io:443/ | https://www.coupler.io:443/security | https://www.coupler.io:443/security.html,"da8a9760bf42.svg"" width=""32"" height=""32"" loading=""lazy"" /> </a> <a href=""mailto:contact@coupler.io"" class=""footer-social-link""> <img alt=""Youtube icon"" src=""/assets/icons/icon-email-ccfc","contact@coupler.io(B,3,direct)"
cquencehealth.com,,,0,0,,,,
craft.io,support@craft.io,B,3,1,direct,https://craft.io/company/contact-us/ | https://craft.io/platform/security/ | https://craft.io/privacy-policy/,"-legal-item menu-item menu-item-type-custom menu-item-object-custom menu-item-7550""><a href=""mailto:support@craft.io"">Support@craft.io</a></li> </ul> </div> <div class=""copyright"">© 2","support@craft.io(B,3,direct)"
creatordb.app,hello@creatordb.app,B,3,1,direct,https://creatordb.app/,"asis, typically for enterprise integrations. Request an evaluation key via the API services page or hello@creatordb.app; pricing is scoped to request volume and data-freshness needs.""}},{""@type"":""Ques","hello@creatordb.app(B,3,direct)"
credibledata.com,security@credibledata.com,A,5,1,direct,https://credibledata.com/security,"package—including current policies and the auditor's letter once issued—by emailing <a href=""mailto:security@credibledata.com"">security@credibledata.com</a>. Our current <a href=""https://credibledata.","security@credibledata.com(A,5,direct); privacy@credibledata.com(B,3,direct)"
credix.finance,,,0,0,,,,
credplatform.com,,,0,0,,,,
crewos.io,info@crewos.io,B,3,1,direct,https://crewos.io/,"t-1d8cddc""> <div class=""box-content-wrapper""> <a class=""elementor-icon-div"" href=""mailto:info@crewos.io""> <div class=""elementor-icon""> <svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" heigh","info@crewos.io(B,3,direct)"
crossbeam.com,security@crossbeam.com,A,5,1,direct,https://www.crossbeam.com/what-is-crossbeam/security,"rity and compliance details in the Security section of our documentation or contact <a href=""mailto:security@crossbeam.com"" data-wf-native-id-path=""d30b3b26-cf83-518c-20d6-66b3d3ed80f7"" data-wf-ao-cli","security@crossbeam.com(A,5,direct); legal@crossbeam.com(B,3,direct); privacy@crossbeam.com(B,3,direct)"
crowdin.com,onboarding@crowdin.com,B,3,1,direct,https://crowdin.com/security,"/a>. You can request an SLA agreement as a separate service, for this contact us at <a href=""mailto:onboarding@crowdin.com"" class=""text-primary underline""> onboarding@crowdin.com </a> </p> </div> <!--","onboarding@crowdin.com(B,3,direct); privacy@crowdin.com(B,3,direct); support@crowdin.com(B,3,direct)"
crowdreply.io,support@crowdreply.io,B,3,1,direct,https://crowdreply.io/,", traffic, and AI citations."", ""logo"": ""https://crowdreply.io/crowdreply-logo.svg"", ""email"": ""support@crowdreply.io"", ""foundingDate"": ""2025"", ""founders"": [ { ""@type"": ""Person"", ""name"": ""Dawo","support@crowdreply.io(B,3,direct)"
crstl.ai,,,0,0,,,,
crustdata.com,info@crustdata.com,B,4,2,"ddg,direct",https://crustdata.com/ | https://crustdata.com/privacy | https://crustdata.com/terms,""">Crustdata Technologies Inc.</strong><strong class=""framer-text""><br class=""framer-text""></strong> info@crustdata.com</p></div></div></div><div class=""ssr-variant hidden-4va6ww hidden-lbelhg""><div cl","info@crustdata.com(B,4,ddg,direct)"
cruva.com,info@cruva.com,B,3,1,direct,https://cruva.com/ | https://cruva.com/.well-known/dnt-policy.txt | https://cruva.com/.well-known/security.txt,"TikTok Shop Partner\"",\""copyright\"":\""Copyright © 2026 - All rights reserved by Cruva\"",\""email\"":\""info@cruva.com\"",\""companyHeading\"":\""Company\"",\""aboutUs\"":\""About us\"",\""caseStudies\"":\""Case Stud","info@cruva.com(B,3,direct); privacy@cruva.com(B,3,direct); support@cruva.com(B,3,direct)"
cryptoquant.com,help@cryptoquant.com,B,3,1,ddg,https://userguide.cryptoquant.com/reference/community-guidelines,"-[3px] hover:links-accent:[text-decoration-skip-ink:none] transition-all duration-100"" href=""mailto:help@cryptoquant.com"">help@cryptoquant.com<svg viewBox=""0 0 512 512"" fill=""currentColor"" style=""over","help@cryptoquant.com(B,3,ddg)"
cryptorefills.com,hr@cryptorefills.com,B,3,1,direct,https://www.cryptorefills.com/en/contact-us,"2 2 0 002.22 0L21 8M5 19h14a2 2 0 002-2V7a2 2 0 00-2-2H5a2 2 0 00-2 2v10a2 2 0 002 2z""></path></svg>hr@cryptorefills.com</p></div><div class=""mt-5 sm:w-1/2""><h2 class=""text-sm font-semibold text-gray-","hr@cryptorefills.com(B,3,direct); info@cryptorefills.com(B,3,direct); media@cryptorefills.com(B,3,direct)"
crystalknows.com,,,0,0,,,,
csllcnow.com,bwilliams@csllcnow.com,B,3,1,direct,https://www.csllcnow.com/contact,"l,ｍｓ ｐゴシック,ms pgothic,돋움,dotum,helvetica,sans-serif;"" class=""wixui-rich-text__text""><a href=""mailto:bwilliams@csllcnow.com?subject=Business Inquiry"" target=""_self"" class=""wixui-rich-text__text""><span ","bwilliams@csllcnow.com(B,3,direct); tridenour@csllcnow.com(B,3,direct)"
cst.co.uk,,,0,0,,,,
cta.tech,,,0,0,,,,
cuballama.com,,,0,0,,,,
cubesoftware.com,hello@cubesoftware.com,B,3,1,direct,https://www.cubesoftware.com/ | https://www.cubesoftware.com/security,": ""+1-212-203-0098"", ""url"": ""https://help.cubesoftware.com/hc/en-us"", ""email"": ""hello@cubesoftware.com"", ""availableLanguage"": [""en""] }, ""foundingDate"": ""2018"", ""founder","hello@cubesoftware.com(B,3,direct)"
cuckooworkout.com,info@cuckooworkout.com,B,3,1,direct,https://cuckooworkout.com/ | https://cuckooworkout.com/about/security | https://cuckooworkout.com/abuse,"hat helps organizations build healthier workday routines with guided microbreaks."", ""email"": ""info@cuckooworkout.com"", ""foundingLocation"": ""Helsinki, Finland"", ""areaServed"": [""United Kingdom"", ""Finlan","info@cuckooworkout.com(B,3,direct)"
cuelinks.com,,,0,0,,,,
cuemath.com,customercare@cuemath.com,B,3,1,direct,https://www.cuemath.com/ | https://www.cuemath.com/contact-us/ | https://www.cuemath.com/privacy/,"n Khurma""}],""contactPoint"":{""@type"":""ContactPoint"",""contactType"":""Sales"",""areaServed"":""US"",""email"":""customercare@cuemath.com""},""address"":[{""@type"":""PostalAddress"",""streetAddress"":""8, The Green, STE A""","customercare@cuemath.com(B,3,direct); grievance@cuemath.com(B,3,direct); nodal.officer@cuemath.com(B,3,direct); privacy@cuemath.com(B,3,direct)"
cufinder.io,info@cufinder.io,B,3,1,direct,https://cufinder.io/ | https://cufinder.io/privacy,",\""crossOrigin\"":\""$undefined\"",\""nonce\"":\""$undefined\""}]\n1f:[\""$\"",\""a\"",null,{\""href\"":\""mailto:info@cufinder.io\"",\""className\"":\""font-bold text-primary\"",\""children\"":[\"" \"",\""info@cufinder.io\""","info@cufinder.io(B,3,direct)"
cumbuca.com,security@cumbuca.com,A,5,1,direct,https://www.cumbuca.com/.well-known/security.txt | https://www.cumbuca.com/security.txt,# Cumbuca security.txt # Responsible disclosure policy # Last updated: 2026-04-24 Contact: mailto:security@cumbuca.com Contact: https://cumbuca.com/contact/ Expires: 2027-04-24T23:59:59.000Z Preferred,"security@cumbuca.com(A,5,direct)"
curate.co,support@curate.co,B,3,1,direct,https://curate.co/ | https://curate.co/terms/,"""@type"": ""ContactPoint"", ""contactType"": ""customer support"", ""email"": ""support@curate.co"", ""availableLanguage"": [""en""] } } </script><script type=""application/ld","support@curate.co(B,3,direct)"
curemedia.com,,,0,0,,,,
curri.com,drivers@curri.com,B,3,1,direct,https://www.curri.com/contact,"count assistance and payments inquiries. For driver support, contact us at:<!-- --> <a href=""mailto:drivers@curri.com"" class=""font-semibold underline transition-colors hover:text-[#1c1c1c]"">drivers@cu","drivers@curri.com(B,3,direct); help@curri.com(B,3,direct); legal@curri.com(B,3,direct)"
cushingterrell.com,info@cushingterrell.com,B,3,1,direct,https://cushingterrell.com/ | https://cushingterrell.com/contact/,"><div class=""wpb_wrapper""><p style=""text-align: left;""><span style=""color: #ffffff;"">800.757.9522 • info@cushingterrell.com</span></p></div></div><div class=""ult-spacer spacer-6a416929a2275"" data-id=""","info@cushingterrell.com(B,3,direct)"
customer.io,billing@customer.io,B,3,1,direct,https://customer.io/contact,"=""container grid grid-cols-1 gap-4 sm:grid-cols-2 md:grid-cols-3"" style=""opacity:0""><a href=""mailto:billing@customer.io"" target=""_blank"" rel=""noopener noreferrer""><div class=""theme-verdant light flex ","billing@customer.io(B,3,direct); ctf@customer.io(B,3,direct); legal@customer.io(B,3,direct); press@customer.io(B,3,direct); win@customer.io(B,3,direct)"
customerscore.io,support@customerscore.io,B,3,1,direct,https://www.customerscore.io/ | https://www.customerscore.io/terms,"ass=""text-gray-400 hover:text-white transition-colors text-sm flex items-center gap-2"" href=""mailto:support@customerscore.io""><svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" viewBox=""0 ","support@customerscore.io(B,3,direct)"
customily.com,dmca@customily.com,B,3,1,direct,https://www.customily.com/policy/terms,"notification to our Designated Agent:</p><p><strong>Martina Moring</strong><br/>Email: <a href=""#"">dmca@customily.com</a><br/>Address: 9808 Countryshire Pl<br/>St. Louis, MO 63141<br/>United States</p","dmca@customily.com(B,3,direct); hello@customily.com(B,3,direct); support@customily.com(B,3,direct)"
